EntrezID	S_HCC_Ctrl_R1	S_HCC_Ctrl_R2	S_HCC_Ctrl_R3	S_HCC_TGFb_R1	S_HCC_TGFb_R2	S_HCC_TGFb_R3	S_NCI_Ctrl_R1	S_NCI_Ctrl_R2	S_NCI_Ctrl_R3	S_NCI_TGFb_R1	S_NCI_TGFb_R2	S_NCI_TGFb_R3	T_Ctrl1_R1	T_Ctrl1_R2	T_Ctrl1_R3	T_TGFb_R1	T_TGFb_R2	T_TGFb_R3	T_Ctrl2_R1	T_Ctrl2_R2	T_Ctrl2_R3	W_Ctrl_R1	W_Ctrl_R2	W_Ctrl_R3	W_TGFb_R1	W_TGFb_R2	W_TGFb_R3
113146	9.929329	9.856703	9.933312	10.6834	10.8051	10.68356	9.868367	9.872493	9.852686	10.19269	10.18324	10.22884	10.00277	10.21238	10.67221	9.246442	9.252884	9.626459	10.36785	10.44012	10.69336	5.389316	5.79089	6.633624	5.784851	5.309298	6.043518
113177	4.424248	4.598283	4.647335	4.272104	4.265966	4.379635	4.827975	4.981033	4.799839	4.528098	4.289282	4.134769	5.608354	5.268637	5.264993	5.240417	5.310191	5.252556	5.256993	5.348576	5.103845	2.852324	3.074263	3.084644	2.965081	3.312614	2.985734
113178	7.91567	8.022721	7.801306	7.429673	7.470159	7.502743	4.928459	4.785873	4.769934	5.049806	4.909942	4.844161	5.793221	5.896496	6.029472	5.593788	5.89176	5.896496	5.965173	6.120573	6.687796	4.917999	4.717843	4.651899	4.880014	4.855475	4.990331
113251	6.293521	6.484826	6.372885	6.067654	5.971711	6.033675	10.22006	10.22163	10.26557	10.42799	10.47614	10.4147	10.21278	10.29874	10.45086	10.07639	10.04924	9.981305	10.72025	10.88998	10.86078	2.813532	3.153825	3.163641	3.171369	3.915334	3.455825
113419	7.026429	7.059572	7.057329	7.254899	7.311145	7.288245	8.850355	8.828257	8.497787	9.174879	9.169185	9.26894	9.757097	9.850073	9.941462	10.26632	10.30215	10.45865	10.34314	10.4777	10.43511	7.377456	8.027737	7.135997	7.54472	7.787641	7.346897
113612	7.084084	7.171967	7.112591	7.90834	7.973322	8.131389	7.198684	7.029621	7.127596	7.684033	7.689376	7.645342	4.888333	4.90463	4.816523	5.080059	5.007079	4.90463	4.749316	4.90463	4.90463	3.108052	3.435139	2.710155	2.885127	2.835926	2.800967
113791	7.581052	7.248522	7.245357	8.505399	8.695005	8.821335	6.566445	6.644859	6.719702	7.110663	7.028305	7.114241	5.914534	5.87396	5.804103	5.889935	5.875334	5.74175	5.972446	6.128941	5.751677	5.209569	5.104435	5.155184	5.454028	5.353002	5.703977
113835	4.877048	5.276193	5.205829	5.372194	5.292088	4.954556	2.744803	2.571445	2.611593	2.774313	2.596445	2.653238	4.884036	4.616438	4.710713	4.838215	4.802486	4.746258	4.746258	4.707941	4.732676	2.933886	2.386913	2.469604	2.632423	2.708602	2.667014
114034	8.027331	8.268814	8.395862	9.12827	9.180054	9.142693	7.834477	7.768404	7.60593	7.882151	8.015727	7.939356	8.689354	8.659832	8.387899	8.932451	8.87965	8.784038	8.517113	8.622237	8.689354	5.291074	5.754326	5.134635	5.462222	5.986267	5.11622
114044	4.193203	4.324332	4.054072	3.580252	4.138211	3.494288	8.134403	8.175116	8.201542	8.60706	8.59519	8.536292	6.658562	6.047213	6.695608	6.091703	6.303246	6.276259	6.352269	6.342268	6.620142	3.660142	3.780339	3.951244	4.303828	4.118544	4.207655
